#Sample	LI-ITS-18BFF2	LI-ITS-21BFF2	LI-ITS-31BFF	LI-ITS-52BFFX	LI-ITS-54BFF	LI-ITS-56BFF	LI-ITS-6BFF1	LI-ITS-7BFF2	LI-ITS-DBFF1	LI-ITS-R6BFF3	LI-ITS-R9BFF	taxonomy
ASV_t6c_hpi	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Dothideomycetes_ord_Incertae_sedis;Dothideomycetes_fam_Incertae_sedis;Peltaster;
ASV_t9g_1n8	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_tb6_hw4	0	0	0	8	0	0	0	924	1337	0	2521	Fungi;Basidiomycota;Cystobasidiomycetes;Erythrobasidiales;Erythrobasidiaceae;Bannoa;
ASV_tc0_z8g	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_tej_l7n	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Knufia;
ASV_ter_zzg	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Dothideales;Aureobasidiaceae;;
ASV_tgh_zlf	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;
ASV_tgo_5jm	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_tlw_5pr	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Boletus;
ASV_tlz_87g	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;
ASV_top_vdn	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;;;;;
ASV_tqr_ns7	0	0	93	0	0	0	0	0	0	0	0	Fungi;;;;;;
ASV_tu6_lxc	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Teichosporaceae;Teichospora;
ASV_tvb_imz	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_u6b_vm9	0	0	85	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella;
ASV_vbw_l6e	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cyphellaceae;Cyphellopsis;
ASV_wsf_eel	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Cystobasidiomycetes;Erythrobasidiales;Erythrobasidiaceae;Bannoa;
